song,performer,count,year
Everything,Jody Watley,11,1990
Everybody Dance,Ta Mara & The Seen,9,1986
Incarcerated Scarfaces/Ice Cream,Raekwon,6,1996
Magic Carpet Ride,The Mighty Dub Katz,8,1996
Invisible Hands,Kim Carnes,1,1984
How Do You Talk To An Angel,The Heights,7,1993
E.I.,Nelly,7,2001
I Got A Name,Jim Croce,4,1974
Gonna,Blake Shelton,5,2016
Music Makes Me High,Lost Boyz,3,1997
Second Chance,Shinedown,3,2008
Betty In Bermudas,The Dovells,7,1963
Someone Is Watching,Solomon Burke,4,1965
Love Gonna Pack Up (And Walk Out),The Persuaders,1,1971
I'm Feeling You,Santana Featuring Michelle Branch & The Wreckers,8,2005
Good Time Music,The Beau Brummels,1,1965
Jesus Is Just Alright,The Byrds,1,1970
Gold Lion,Yeah Yeah Yeahs,3,2006
On My Own,Samantha Barks,1,2013
I've Been Loved Before,Shirley and Lee,6,1960
My Time For Cryin',Maxine Brown,1,1962
I'm Tossin' And Turnin' Again,Bobby Lewis,1,1962
If I Didn't Have You,Thompson Square,1,2012
Downtown's Dead,Sam Hunt,2,2018
Get Dripped,Lil Yachty Featuring Playboi Carti,1,2018
Grow Closer Together,The Impressions,1,1962
It's A Cotton Candy World,Jerry Wallace,1,1964
Funky Party,Clarence Reid,1,1974
I'll Be Around,Daryl Hall John Oates,3,2005
I Get It In,Omarion Featuring Gucci Mane,6,2009
Let Me Love You,Ariana Grande Featuring Lil Wayne,1,2016
Nobody But Me,Blake Shelton,14,2006
Million Dollar Bill,Whitney Houston,1,2009
If The Boot Fits,Granger Smith,3,2017
Endless Love,Luther Vandross & Mariah Carey,3,1995
B.B.D. (I Thought It Was Me)?,Bell Biv DeVoe,3,1991
Round Here Buzz,Eric Church,6,2018
Rock The Party,Benzino,6,2003
Read Your Mind,Avant,13,2004
Can't Be Friends,Trey Songz,7,2011
Beer Money,Kip Moore,7,2013
Soul Kiss,Olivia Newton-John,2,1986
Black Beatles,Rae Sremmurd Featuring Gucci Mane,13,2017
Out Of Touch,Daryl Hall John Oates,9,1985
Blue Ain't Your Color,Keith Urban,7,2017
Bright Lights,matchbox twenty,7,2004
Caroline,Amine,13,2017
Something Special,Colbie Caillat,1,2008
Remember You,Wiz Khalifa Featuring The Weeknd,4,2012
Bang My Head,David Guetta Featuring Sia & Fetty Wap,6,2016
Cherry Berry Wine,Charlie Mccoy,1,1961
Cry Myself To Sleep,Del Shannon,1,1962
Dear Hearts And Gentle People,The Springfields,3,1962
"Dance, Everybody, Dance",The Dartells,1,1963
"Someone, Someone",Brian Poole And The Tremeloes,2,1964
That's Where It's At,Sam Cooke,3,1964
Pass Me By,Peggy Lee,3,1965
Beat The Clock,The McCoys,2,1967
Only You (And You Alone),Bobby Hatfield,4,1969
"Don't Call Us, We'll Call You",Sugarloaf/Jerry Corbetta,4,1974
Cry To Me,Loleatta Holloway,6,1975
(Call Me Your) Anything Man,Bobby Moore,2,1975
Tell It Like It Is,Andy Williams,6,1976
Only Love Can Break A Heart,Bobby Vinton,2,1977
Bring It All Back,Grayson Hugh,4,1989
500 Miles,Hooters,4,1989
Close To Me,The Cure,3,1991
Can't Stop My Heart From Loving You (The Rain Song),Aaron Neville,1,1995
Day + Night,Isyss Featuring Jadakiss,4,2002
Sometimes You Can't Make It On Your Own,U2,3,2005
Angelito,Don Omar,4,2006
Red High Heels,Kellie Pickler,3,2006
Dig,Incubus,3,2007
Do It Like You,Diggy Featuring Jeremih,8,2012
Alimony,Frankie Ford,2,1959
Don't Let Him Shop Around,Debbie Dean,2,1961
Tears Of Joy,Chuck Jackson,2,1963
Sue's Gotta Be Mine,Del Shannon,7,1963
Spanish Harlem,King Curtis,1,1965
Baby Come On Home,Solomon Burke,2,1966
Cry,Ronnie Dove,6,1966
"Ready, Willing and Able",The American Breed,3,1968
A Sunday Kind Of Love,Lenny Welch,5,1972
Crazy Talk,Chilliwack,1,1974
Camouflage,Brad Paisley,3,2011
Thank You,Estelle,1,2012
The Christmas Shoes,NewSong,1,2001
The Christmas Song,Lauren Daigle,1,2019
Deck The Halls,SHeDAISY,2,2000
Promise Me A Rose (A Slight Detail),Anita Bryant,2,1960
Are You Serious,Tyrone Davis,5,1983
More Than I Can Say,Leo Sayer,9,1981
No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,14,2018
Gucci Gang,Lil Pump,9,2018
No One,Alicia Keys,24,2008
High Enough,Damn Yankees,14,1991
Girl On Fire,Alicia Keys Featuring Nicki Minaj,15,2013
"Gypsys, Tramps & Thieves",Cher,1,1972
Never,Heart,8,1986
Heartlight,Neil Diamond,3,1983
He's A Rebel,The Crystals,1,1963
Hippychick,Soho,2,1991
Emotion In Motion,Ric Ocasek,2,1987
Fade Into You,Mazzy Star,2,1995
Let Me Love You,DJ Snake Featuring Justin Bieber,14,2017
"Missing You (From ""Set It Off"")","Brandy, Tamia, Gladys Knight & Chaka Khan",1,1997
Love Theme From St. Elmo's Fire (Instrumental),David Foster,3,1986
Jesse,Carly Simon,1,1981
I'm Real,Jennifer Lopez Featuring Ja Rule,5,2002
Feelings,Morris Albert,4,1976
Me And My Shadow,Frank Sinatra & Sammy Davis Jr.,1,1963
Can't Say Nothin',Curtis Mayfield,4,1974
Cold World,Genius/GZA Featuring Inspektah Deck,2,1996
Please Come Home For Christmas,Charles Brown,1,1962
Are You My Woman? (Tell Me So),The Chi-lites,5,1971
Come Saturday Morning,The Sandpipers,18,1970
River Of Love,George Strait,18,2009
Smarty Pants,First Choice,1,1974
Sad Mood,Sam Cooke,3,1961
Celebrity Skin,Hole,5,1999
Stuntin' Like My Daddy,Birdman & Lil Wayne,4,2007
Rainbow Connection,Kermit (Jim Henson),1,1980
Smoke Break,Carrie Underwood,3,2016
Short Dick Man,20 Fingers Featuring Gillette,13,1995
Come Baby Come,K7,4,1994
Applause,Lady Gaga,5,2014
She Will,Lil Wayne Featuring Drake,3,2012
Don't Make Me Wait For Love,Kenny G. (Vocal By Lenny Williams),1,1988
Open My Heart,Yolanda Adams,1,2001
Closer,The Chainsmokers Featuring Halsey,32,2017
Breakfast At Tiffany's,Deep Blue Something,16,1996
Can't Believe It,T-Pain Featuring Lil Wayne,4,2009
Crystal Chandelier,Vic Dana,3,1966
Open The Door (Song For Judith),Judy Collins,5,1972
All Right Now,Rod Stewart,3,1985
Right Down To It,Damian Dame,3,1992
"Revolution (From ""Malcolm X"")",Arrested Development,3,1993
Tony Rome,Nancy Sinatra,3,1967
Too Blind To See It,Kym Sims,7,1991
Too Close,Melanie Martinez,1,2012
Too Late For Goodbyes,Julian Lennon,17,1985
Too Little Too Late,Barenaked Ladies,4,2001
Too Many Walls,Cathy Dennis,20,1991
Too Much Of A Good Thing,Alan Jackson,13,2004
Too Much Talk,Paul Revere & The Raiders Featuring Mark Lindsay,8,1968
Too Weak To Fight,Clarence Carter,8,1968
Too Young,Donny Osmond,9,1972
Top Of The World,Carpenters,7,1974
Touch And Go,"Ecstasy, Passion & Pain Featuring Barbara Roy",2,1976
Touch Me Baby,Ultimate,3,1979
"Touch Me Tease Me (From ""The Nutty Professor"")",Case Featuring Foxxy Brown,20,1996
Trading Places,Usher,10,2009
Train Food,XXXTENTACION,1,2018
Train Of Thought,Cher,11,1974
Tramp,Lowell Fulsom,7,1967
Tremor Christ/Spin The Black Circle,Pearl Jam,6,1994
Troglodyte (Cave Man),The Jimmy Castor Bunch,12,1972
True Companion,Marc Cohn,5,1991
Truly,Lionel Richie,12,1982
Trumpets,Jason Derulo,3,2015
Try To Find Me,Gorky Park,6,1990
Try To Remember,Ed Ames,6,1965
Tryin' To Love Two,William Bell,15,1977
TSOP (The Sound Of Philadelphia),MFSB Featuring The Three Degrees,18,1974
Tuck Me In,Kimberly Scott,3,1997
Tucumcari,Jimmie Rodgers,9,1959
Tuff,Ace Cannon,2,1961
Tulsa,Billy Joe Royal,3,1971
Tunnel Of Love,Bruce Springsteen,4,1987
Turn Off The Light,Nelly Furtado,20,2001
Twilight,Electric Light Orchestra,10,1981
Twist Of Fate,Olivia Newton-John,9,1983
Uh! Oh! Part 1,The Nutty Squirrels,4,1959
"Um, Um, Um, Um, Um, Um",Major Lance,11,1964
Unbelievable,EMF,23,1991
Uncle Albert/Admiral Halsey,Paul & Linda McCartney,13,1971
Under The Boardwalk,Billy Joe Royal,4,1978
Under The Covers,Janis Ian,4,1981
UnFazed,Lil Uzi Vert Featuring The Weeknd,1,2017
Unforgettable,Natalie Cole,17,1991
Union Of The Snake,Duran Duran,9,1983
United We Stand,The Brotherhood Of Man,15,1970
Unpredictable,Jamie Foxx Featuring Ludacris,5,2005
Untitled 07 l Levitate,Kendrick Lamar,1,2016
Up On Cripple Creek,The Band,5,1970
Uprising,Muse,14,2009
Uptown Festival (Part 1),Shalamar,17,1977
Uptown Funk!,Mark Ronson Featuring Bruno Mars,50,2015
Uptown Girl,Glee Cast,1,2011
Utopia,Frank Gari,11,1961
Valerie,Steve Winwood,12,1987
Vanilla Ólay,Jackie DeShannon,9,1972
Vanishing Point,The Marketts,4,1964
Velcro Fly,ZZ Top,12,1986
Very Special,"Big Daddy Kane Feat. Spinderella, L. Williams & K. Anderson",20,1993
"Vincent (Starry, Starry Night)/Castles In The Air",Don McLean,12,1972
Viva La Vida,Coldplay,19,2009
Voices,Cheap Trick,7,1980
Wabash Blues,The Viscounts,5,1960
Waitin' In Your Welfare Line,Buck Owens,7,1966
Waiting For A Girl Like You,Foreigner,12,1981
Waiting For Love,Alias,17,1991
Waiting For Tonight,Jennifer Lopez,9,2000
Send My Love (To Your New Lover),Adele,26,2016
Relax,Frankie Goes To Hollywood,16,1985
Confident,Demi Lovato,10,2016
Temporary Home,Carrie Underwood,19,2010
Changes,David Bowie,7,1975
Disco Inferno,The Trammps,20,1978
Say,John Mayer,26,2008
Ready Set Roll,Chase Rice,20,2014
Solitary Man,Neil Diamond,14,1970
Battle Scars,Lupe Fiasco & Guy Sebastian,19,2013
Call On Me,Starley,17,2017
Best I Ever Had,Gary Allan,1,2006
Smile,Uncle Kracker,14,2010
That's What I Like,Bruno Mars,3,2018
Red,Taylor Swift,18,2013
Reminder,The Weeknd,14,2017
Collard Greens,ScHoolboy Q Featuring Kendrick Lamar,2,2014
Dear Future Husband,Meghan Trainor,19,2015
The Fly,U2,3,1992
The Fool And The Angel,Bobby Helms,2,1959
The Fox,Ylvis,15,2013
The Games We Play,Pusha T,1,2018
The Ghetto,Too $hort,7,1991
The Girl From Ipanema,Stan Getz/Astrud Gilberto,12,1964
The Girl From Peyton Place,Dickey Lee,6,1965
The Girl Is Mine,Michael Jackson And Paul McCartney,8,1982
The Golden Age Of Rock 'n' Roll,Mott The Hoople,2,1974
The Great Commandment,Camouflage,10,1989
The Greatest,Sia Featuring Kendrick Lamar,8,2017
The Green Grass Starts To Grow,Dionne Warwick,5,1971
The Groove Line,Heatwave,17,1978
The Hanging Tree,Marty Robbins,13,1959
The Heart Is Not So Smart,El DeBarge With DeBarge,3,1986
The Humpty Dance,Digital Underground,23,1990
The Hurt,Cat Stevens,10,1973
The Joint,EPMD,3,1997
The Killing Of Georgie (Part I And II),Rod Stewart,10,1977
The Lion Sleeps Tonight,Robert John,17,1972
The Little Drummer Boy,The Jack Halloran Singers,1,1962
The Loco-Motion,Kylie Minogue,8,1989
The London,"Young Thug, J. Cole & Travis Scott",3,2019
The Love Of My Man,Theola Kilgore,12,1963
The Madison Time - Part I,Ray Bryant Combo,9,1960
The Matrimony,Wale Featuring Usher,19,2015
The Middle,Jimmy Eat World,33,2002
The Middle,"Zedd, Maren Morris & Grey",40,2018
The Most Beautiful Girl In The World,Prince,26,1994
The Name Of The Game,ABBA,2,1977
The Name Of The Game,ABBA,14,1978
The Neighbor,Dixie Chicks,1,2007
The Next Kiss (Is The Last Goodbye),Conway Twitty,4,1961
The Next Time I Fall,Peter Cetera With Amy Grant,15,1986
The Nitty Gritty,Gladys Knight And The Pips,11,1969
The Obvious Child,Paul Simon,2,1991
The One I Gave My Heart To,Aaliyah,7,1998
The One You Love,Glenn Frey,17,1982
The One You Love,Paulina Rubio,3,2002
The Only Exception,Glee Cast,1,2010
The Other Guy,Little River Band,6,1982
"The Perfect Drug (From ""Lost Highway"")",Nine Inch Nails,9,1997
The Phoenix,Fall Out Boy,1,2013
The Pill,Loretta Lynn,7,1975
The Plastic Man,The Temptations,8,1973
The Puzzle Song (A Puzzle In Song),Shirley Ellis,5,1965
The Rains Came,Sir Douglas Quintet,11,1966
The Right Feeling At The Wrong Time,Hot,5,1977
The River Of Love,B.W. Stevenson,5,1973
The River,Good Charlotte Featuring M. Shadows And Synyster Gates,6,2007
The Shelter Of Your Arms,Sammy Davis Jr.,4,1963
The Shoop Shoop Song (It's In His Kiss),Betty Everett,13,1964
The Sins Of A Family,P.F. Sloan,2,1965
The Sound Of My Tears,Deborah Cox,4,1997
When You're In Love With A Beautiful Woman,Dr. Hook,25,1979
Where Are You Going,Jerry Butler,1,1970
Where Did Our Love Go,The J. Geils Band,6,1976
Where Did Your Heart Go?,Wham!,8,1986
"Where Do We Go From Here (From ""Eraser"")",Vanessa Williams,14,1996
Where Is My Mind,The Vanilla Fudge,6,1968
Where The Hood At?,DMX,8,2003
Where The Party At,Jagged Edge With Nelly,29,2001
Wherever You Go,Voices Of Theory,11,1998
While You See A Chance,Steve Winwood,18,1981
Whip My Hair,Willow,10,2011
Whispering,Nino Tempo & April Stevens,7,1964
White Men Can't Jump,Riff,4,1992
Who Do U Love,Deborah Cox,20,1996
Who Do You Love,Quicksilver Messenger Service,3,1969
Who Do You Think You Are,Bo Donaldson And The Heywoods,12,1974
Who Will The Next Fool Be,Bobby Bland,4,1962
Who's Your Daddy?,Toby Keith,7,2003
whoknows,Musiq,13,2004
Whole Lotta Love,C.C.S.,4,1971
Whutcha Want?,Nine,2,1994
Why Do I Love You So,Johnny Tillotson,14,1960
Why Do Kids Grow Up,Randy & The Rainbows,2,1963
Why Do Lovers (Break Each Other's Heart?),Daryl Hall John Oates,6,1977
Wild Wild Love,Pitbull Featuring G.R.L.,18,2014
"Wild, Wild West",The Escape Club,7,1989
Wild!,Dee Dee Sharp,9,1963
Will 2K,Will Smith Featuring K-Ci,9,1999
Will Power,The Cookies,5,1963
Will You Love Me Tomorrow,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",8,1968
Wings Of A Dove,Ferlin Husky,12,1961
Wings,Little Mix,9,2013
Wish Wish,DJ Khaled Featuring Cardi B & 21 Savage,4,2019
Wishin' And Hopin',Dusty Springfield,13,1964
With You,Somethin' For The People,2,1996
Without Love (There Is Nothing),Tom Jones,10,1970
Without Your Love,Angelina,15,1997
Without Your Love,Toto,1,1986
Wkrp In Cincinnati,Steve Carlisle,6,1981
Wobble,V.I.C.,2,2012
Wolverton Mountain,Claude King,16,1962
Woman,Peter And Gordon,12,1966
Won't Go Home Without You,Maroon 5,19,2008
Wonderful Baby,Don McLean,3,1975
"Wonderful World, Beautiful People",Jimmy Cliff,4,1969
Woo-Hoo,Rock-A-Teens,12,1959
Woodstock,"Crosby, Stills, Nash & Young",11,1970
Woohoo,Christina Aguilera Featuring Nicki Minaj,2,2010
Work B**ch!,Britney Spears,1,2014
Working In The Coal Mine,Lee Dorsey,12,1966
World Shut Your Mouth,Julian Cope,4,1987
Would I Lie To You?,Charles & Eddie,7,1993
Would It Make Any Difference To You,Etta James,7,1963
Wrap Your Arms Around Me,KC And The Sunshine Band,2,1978
"Wu-Wear: The Garment Renaissance (From ""High School High"")",RZA Feat. Method Man & Cappadonna,12,1996
X,21 Savage & Metro Boomin Featuring Future,7,2017
X,"ScHoolboy Q, 2 Chainz & Saudi",5,2018
Yakety Yak,The Coasters,7,1958
Yankee Rose,David Lee Roth,15,1986
Yeah 3X,Chris Brown,17,2011
Years From Now,Dr. Hook,9,1980
Yes We Can Can,The Pointer Sisters,16,1973
Yesterday Once More/Nothing Remains The Same,The Spinners,8,1981
Yesterday,Adam Levine & Tony Lucca,1,2012
Yo (Excuse Me Miss),Chris Brown,20,2006
Walk Away From Love,David Ruffin,7,1976
Walk It Out,Unk,21,2007
Walk Of Life,Dire Straits,12,1986
Walk On Water,Eminem Featuring Beyonce,3,2017
Walkin' With My Angel,Bobby Vee,6,1961
Walking In My Shoes,Depeche Mode,8,1993
Wang Dang Doodle,The Pointer Sisters,2,1973
Wanksta,50 Cent,15,2003
Wasted,Carrie Underwood,20,2007
Watch Me,Bella Thorne & Zendaya,3,2011
Way Down Yonder In New Orleans,Freddie Cannon,9,1960
We Are Family,Sister Sledge,19,1979
We Are The Young,Dan Hartman,13,1984
We Close Our Eyes,Go West,15,1985
We Could,Al Martino,6,1964
We Got Love,Bobby Rydell,12,1959
We Got The Beat,Glee Cast,1,2011
We Gotta Get You A Woman,Runt,7,1970
We Live For Love,Pat Benatar,14,1980
We Were Us,Keith Urban And Miranda Lambert,14,2013
We Will Rock You/We Are The Champions,Queen,11,1977
We'll Have It Made,The Spinners,3,1971
We're Getting Careless With Our Love,Johnnie Taylor,10,1974
We're Ready,Boston,4,1986
We're Rolling On (Part I),The Impressions,7,1968
Welcome To Atlanta,Jermaine Dupri & Ludacris,1,2001
Western Union,The Five Americans,12,1967
Wet Dreamz,J. Cole,1,2014
Wet Dreamz,J. Cole,19,2015
What A Difference You've Made In My Life,Ronnie Milsap,3,1978
What A Fool I've Been,Carla Thomas,2,1963
What A Guy,The Raindrops,8,1963
What About Me,Don Gibson,1,1961
What About Us,P!nk,2,2018
What Am I Crying For?,Dennis Yost And The Classics IV,11,1972
What Am I Gonna Do (I'm So In Love With You),Rod Stewart,12,1983
What Are You Doing Sunday,Dawn Featuring Tony Orlando,9,1971
What Can You Get A Wookiee For Christmas (When He Already Owns A Comb?),The Star Wars Intergalactic Droid Choir & Chorale,3,1981
What Do You Want,Jerrod Niemann,20,2011
What If I Never Get Over You,Lady Antebellum,1,2019
What U Gon' Do,Lil Jon & The East Side Boyz Featuring Lil Scrappy,8,2004
What Would I Do,Mickey & Sylvia,8,1961
What Would You Do?,Jim Reeves,5,1961
What You're Missing,Chicago,5,1983
What's New,Linda Ronstadt & The Nelson Riddle Orchestra,10,1983
What's On Tonight,Montell Jordan,20,1997
What's Your Fantasy,Ludacris Featuring Shawnna,14,2000
Whatcha Gonna Do?,Pablo Cruise,26,1977
Whateva Man,Redman,15,1997
Whatever Gets You Thru The Night,John Lennon With The Plastic Ono Nuclear Band,1,1975
Whatever It Takes,Imagine Dragons,26,2018
"Whatever You Got, I Want",Jackson 5,10,1974
Whatever You Want,Tony Toni Tone,11,1991
Whatever,En Vogue,15,1997
Wheels Of Fortune,The Doobie Brothers,2,1976
When A Man Loves A Woman,Michael Bolton,12,1991
When A Woman Loves A Man,Esther Phillips,5,1966
When A Woman's Fed Up,R. Kelly,19,1999
When I Look To The Sky,Train,14,2004
When I Looked At Him,Expose,20,1989
When I Said I Do,Clint Black,11,1999
When I Was Your Man,Bruno Mars,34,2013
When She Cries,Restless Heart,13,1993
When She Was My Girl,Four Tops,20,1981
When The Stars Go Blue,Tim McGraw,20,2006
The Streak,Ray Stevens,17,1974
The Sun Ain't Gonna Shine Anymore,Nielsen/Pearson,8,1981
The Sweetest Thing (I've Ever Known),Juice Newton,13,1982
The Tide Is High,Blondie,7,1980
The Tide Is High,Blondie,19,1981
The Tip Of My Fingers,Eddy Arnold,7,1966
The Touchables,Dickie Goodman,7,1961
The Twelfth Of Never,Donny Osmond,13,1973
The Twist,Chubby Checker,18,1960
The Voice Within,Christina Aguilera,5,2003
The Waiting,Tom Petty And The Heartbreakers,13,1981
The Way I Am,Eminem,10,2000
The Way We Were,Barbra Streisand,6,1973
The Woman In Me,Donna Summer,2,1982
The World I Know,Collective Soul,27,1996
The World Is A Ghetto,War,7,1972
The Worm,Jimmy McGriff,1,1968
The Yard Went On Forever,Richard Harris,6,1968
Theme From S-Express,S-Express,6,1988
Theme From S.W.A.T.,Rhythm Heritage,7,1975
Theme From The Apartment,Ferrante & Teicher,20,1960
Theme from Tunes Of Glory,The Cambridge Strings And Singers,6,1961
Themes From The Wizard Of Oz,Meco,10,1978
There Goes My Baby,Charlie Wilson,2,2009
There Goes My Everything,Engelbert Humperdinck,7,1967
There Goes My Everything,Jack Greene,9,1967
My Uncle Used To Love Me But She Died,Roger Miller,5,1966
Okolona River Bottom Band,Bobbie Gentry,4,1967
If You Wanna Do A Dance,The Spinners,6,1978
I'm So Anxious,Southside Johnny & The Asbury Jukes,4,1979
Dur Dur D'etre BeBe! (It's Tough To Be A Baby),Jordy,9,1993
Numb,XXXTENTACION,3,2018
From A Jack To A King,Ned Miller,1,1962
Electric Stories,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",1,1968
Lovin' Things,The Grass Roots,7,1969
Give It To Me,The Mob,4,1971
I'll Drink To You,Duke Jupiter,7,1982
I Cry Just A Little Bit,Shakin' Stevens,6,1984
Kitty Kitty,69 Boyz,4,1994
I Found A Love Oh What A Love,Jo Ann & Troy,3,1964
Hide & Seek,The Sheep,7,1966
Free Man,South Shore Commission,7,1975
I Like It Like That,Loggins & Messina,2,1975
Killer Cut,Charlie,6,1979
Is This Love,Pat Travers Band,7,1980
Jigga What...,Jay-Z Featuring Big Jaz,3,1999
Midnight,Coldplay,3,2014
Everything 1K,Kodak Black,1,2017
I Can't Stand Myself (When You Touch Me),James Brown And The Famous Flames,4,1967
Keep The Customer Satisfied,Gary Puckett,5,1971
Good Time Sally,Rare Earth,8,1972
Flyin' High,The Blackbyrds,4,1975
Howzat,Sherbet,8,1976
Hound Dog Man (Play It Again),Lenny LeBlanc,5,1977
El Perdedor,Enrique Iglesias Featuring Marco Antonio Solis,1,2014
Multiplication,Bobby Darin,3,1961
Everybody Knows,The Dave Clark Five,3,1967
Never Dreamed You'd Leave In Summer,Stevie Wonder,4,1971
Inseparable,Natalie Cole,3,1975
High Out Of Time,Carole King,3,1976
I Never Cry,Alice Cooper,20,1976
Let Me In,Derringer,2,1976
Here Is Where Your Love Belongs,The Sons Of Champlin,5,1977
Get Back,Billy Preston,2,1978
It's All I Can Do,Anne Murray,9,1981
